flightnum,origin,dest
135,BWI,MCI
2231,BWI,PHX
574,CLE,MDW
574,CLE,MDW
2813,CMH,MCO
48,CRP,HOU
12,DAL,ABQ
320,DAL,ABQ
1387,DAL,AMA
1387,DAL,AMA
1605,DAL,AMA
1937,DAL,AMA
23,DAL,HOU
201,DAL,HOU
1628,DAL,HOU
20,DAL,LBB
2388,DAL,MSY
491,DTW,BNA
1019,DTW,MDW
185,ELP,PHX
555,HOU,ABQ
8,HOU,DAL
16,HOU,DAL
167,HOU,LAS
1006,HOU,MSY
1532,HOU,MSY
34,HRL,HOU
1651,HRL,HOU
2706,IND,LAX
2248,ISP,FLL
977,ISP,PBI
1305,ISP,TPA
2708,JAX,MSY
819,LAS,AUS
158,LAS,LBB
1157,LAS,MSY
167,LAS,OAK
1497,LAS,ORF
2206,LAS,PHX
778,LAX,ABQ
2575,LAX,BNA
2545,LAX,LAS
2218,LAX,OAK
792,LAX,PHX
53,LBB,DAL
33,LIT,DAL
1860,MAF,HOU
1143,MCI,ABQ
2546,MCI,MDW
2218,MCO,ABQ
1957,MCO,BWI
1715,MCO,ISP
470,MCO,MDW
2560,MCO,MHT
903,MDW,BWI
327,MDW,LAX
589,MDW,MCI
636,MDW,MCI
1063,MDW,MCI
2859,MDW,MHT
2048,MDW,STL
2014,MSY,DAL
547,MSY,HOU
2029,MSY,LAS
1713,MSY,PHX
474,MSY,SAN
1020,OAK,PHX
597,OAK,SAN
1331,OAK,SAN
1331,OAK,SAN
1965,OKC,HOU
500,OKC,MCI
2257,OKC,MCI
1615,OKC,STL
1694,OMA,LAS
2222,OMA,MDW
2032,ONT,LAS
2032,ONT,LAS
1725,PBI,TPA
2223,PDX,LAS
108,PDX,MCI
2251,PHX,ABQ
603,PHX,CMH
269,PHX,HOU
2055,PHX,LAS
2368,PHX,LAX
490,PHX,LIT
586,PHX,SAN
968,PVD,FLL
1226,PVD,MCI
2893,PVD,MCO
332,PVD,TPA
332,PVD,TPA
332,PVD,TPA
332,PVD,TPA
683,RDU,LAS
589,RDU,MDW
355,RNO,LAS
579,RNO,LAS
1669,RNO,LAS
1548,SAN,ABQ
2028,SAN,OAK
2096,SEA,ABQ
2484,SJC,LAX
1229,SLC,LAS
1619,SMF,ONT
798,SNA,OAK
110,SNA,SJC
2028,STL,ABQ
2574,STL,BWI
2009,STL,HOU
472,STL,MDW
1820,STL,MDW
2093,STL,MDW
2093,STL,MDW
1725,TPA,BDL
1646,TPA,MSY
903,TUL,MCI
689,PHL,MSP
692,MOT,MSP
706,FCA,GTF
921,MSP,HNL
927,SEA,OGG
927,SEA,OGG
927,SEA,OGG
930,HNL,MSP
954,MEM,MCO
988,MIA,DTW
1026,PHX,MKE
1040,BIL,MSP
1046,MSP,ORD
1051,PIT,MSP
1118,DTW,RSW
1168,GFK,MSP
1285,MDW,MSP
1286,MSP,MDW
1325,SJU,MSP
1469,MSP,MOT
1469,MSP,MOT
1477,DTW,MSY
1480,MSP,SDF
1491,CMH,MSP
1523,MSP,MCI
1568,OMA,MEM
1626,JAC,MSP
1635,MSP,HDN
1640,FNT,FLL
1756,DTW,EWR
1788,DTW,PHL
1855,MBS,MSP
1884,DTW,MHT
1937,MEM,MSY
1982,MEM,RSW
5146,CVG,SYR
5185,DCA,MCO
5400,MCO,CVG
5167,ATL,FWA
5138,CAE,LGA
5140,JFK,CAE
5333,CVG,AVP
5359,ROC,ATL
5437,JAX,LGA
5551,PWM,LGA
5608,SAV,LGA
5127,BHM,LGA
5321,ATL,MHT
5329,ATL,AVP
5331,CVG,AVP
5336,ATL,AVP
5437,JAX,LGA
5547,LGA,PWM
5589,CVG,MDT
5608,SAV,LGA
5685,GRR,CVG
5729,AGS,ATL
5940,CVG,BWI
5534,ABE,ATL
5073,ATL,BUF
5526,ATL,SRQ
5366,ATL,ROC
5554,GSO,MCO
5030,ATL,ROA
5287,CAK,ATL
5024,FLL,CVG
5607,SAV,CVG
5802,IAD,CVG
5854,DSM,CVG
5941,HLN,SLC
5087,BUF,ATL
5499,RDU,CVG
5747,CVG,CLT
5892,DAY,ATL
5616,MYR,DFW
3674,SUN,TWF
3640,SLC,RNO
3727,GSO,MEM
3643,RNO,SLC
3704,DFW,ELP
3982,SLC,ELP
6010,ACV,SFO
6338,PDX,PSC
3640,SLC,RNO
3643,RNO,SLC
6300,MFR,PDX
6336,PDX,PSC
6300,MFR,PDX
3640,SLC,RNO
3643,RNO,SLC
3651,RNO,SLC
3960,SLC,LAX
6198,FAT,MRY
3796,DFW,TUL
3920,SLC,MSO
3672,SUN,TWF
6090,LAX,SFO
3845,SLC,LAS
6017,PSP,FAT
6305,GEG,PDX
6333,PSC,PDX
3618,CPR,IDA
3857,SLC,PDX
3949,SLC,ONT
4001,SLC,ONT
6016,LAS,LAX
6727,DEN,LAX
